index,datetime,wall_time,num_env,num_episodes,learning_rate,hidden_layers,min_reward,max_reward,mean_reward,reward_variance,mean_actor_loss,mean_critic_loss,mean_entropy_loss,mean_overall_loss
0,20210405-225734,120.04074515500179,6,50000,0.001,"(32, 32)",21.3,139.2,77.29800000000002,26.496033589954553,-0.11034903979808929,2.3578196430739373,-3.2299348449707033,2.2442579316822346
1,20210405-225734,126.65153170299891,6,50000,0.001,"(64, 64)",15.1,184.4,90.30400000000002,37.07680115651834,-0.09831048473428179,1.9740386339361984,-3.166618962287903,1.8725499991586898
2,20210405-225734,129.78630696300024,6,50000,0.001,"(128, 128)",15.4,202.4,99.63600000000001,35.883354135309034,-0.10236293252928909,1.819860874202171,-3.1372220420837404,1.7143505113069666
3,20210405-225734,134.3010969499992,6,50000,0.002,"(32, 32)",18.5,205.1,95.74,43.213831119214596,-0.11038184957677025,1.9183033384934387,-3.1587304306030273,1.8047618829886312
4,20210405-225734,130.13781459500024,6,50000,0.002,"(64, 64)",17.0,178.5,92.79799999999999,35.383021295530995,-0.11334867179215166,1.8397202366194338,-3.0813433074951173,1.7232583645414212
5,20210405-225734,128.60634406900135,6,50000,0.002,"(128, 128)",20.0,195.4,112.43,35.79443113111312,-0.11052135360128296,1.649355182796894,-3.10217755317688,1.535744555592246
6,20210405-225734,123.94913506699959,6,50000,0.003,"(32, 32)",22.6,164.6,99.382,30.845879400659012,-0.10727494620961651,1.7214773041053892,-3.1067702198028564,1.6110684438785188
7,20210405-225734,133.25323136000225,6,50000,0.003,"(64, 64)",19.7,238.1,123.014,46.75446079252759,-0.09426889308683185,1.4694943523681432,-3.0946322965621946,1.372123906336131
8,20210405-225734,135.09335602599822,6,50000,0.003,"(128, 128)",22.4,225.7,124.35400000000001,44.42196848407328,-0.09557664807290257,1.4429198925277753,-3.0449431419372557,1.3442828716795077
9,20210405-225734,242.83259201499823,6,100000,0.001,"(32, 32)",18.8,193.6,90.256,31.018369783081766,-0.12189841526230911,2.0033006053386884,-3.1804019236564636,1.8782212153167988
10,20210405-225734,252.9423227249972,6,100000,0.001,"(64, 64)",14.0,163.8,96.691,27.27925253741385,-0.11231783261925012,1.7726706592750758,-3.1547311091423036,1.6572016457402905
11,20210405-225734,253.78045702999952,6,100000,0.001,"(128, 128)",14.5,295.2,107.28500000000003,40.436986472782564,-0.11130073366294384,1.6432235309163659,-3.1226785588264465,1.5287933609194995
12,20210405-225734,253.22843372200077,6,100000,0.002,"(32, 32)",17.7,191.1,101.38600000000002,34.10828937369917,-0.11188652475768418,1.665012655710857,-3.1297246336936952,1.5499996040924569
13,20210405-225734,250.2678027999973,6,100000,0.002,"(64, 64)",14.7,186.8,100.493,30.85739216136062,-0.11536488527029914,1.648498068179802,-3.1032656145095827,1.530033521724801
14,20210405-225734,258.68678472800093,6,100000,0.002,"(128, 128)",20.1,211.2,115.37700000000001,37.82784121516849,-0.1068565613528387,1.460964258518916,-3.0391717028617857,1.351038666836056
15,20210405-225734,258.8543470329969,6,100000,0.003,"(32, 32)",23.5,272.3,105.777,39.390716812467375,-0.11509736324009077,1.624820674703456,-3.07632159948349,1.5066296689499927
16,20210405-225734,253.050133069999,6,100000,0.003,"(64, 64)",14.8,228.6,109.06,38.00534436102375,-0.1069086133091348,1.4736034866106928,-3.0353297138214113,1.3636263501549606
17,20210405-225734,278.8607472040021,6,100000,0.003,"(128, 128)",27.5,250.0,110.56799999999997,41.70476203025261,-0.09955028920600803,1.3565058926283955,-3.0165850853919984,1.2539466818617366
18,20210405-225734,169.73609056200075,12,50000,0.001,"(32, 32)",18.3,202.3,104.354,44.65166160402096,-0.04566574033398397,1.7363292832846287,-3.1664229965209962,1.6874943099459168
19,20210405-225734,173.33070284100177,12,50000,0.001,"(64, 64)",17.8,203.6,115.74600000000001,44.7534812500659,-0.04680343307504475,1.4385035613445099,-3.1433769512176513,1.3885629396258155
20,20210405-225734,162.32176655500007,12,50000,0.001,"(128, 128)",25.3,242.0,131.766,47.56804225527891,-0.05354418766363297,1.32976106164839,-3.1066183757781984,1.27310231590271
21,20210405-225734,158.13332479400196,12,50000,0.002,"(32, 32)",17.7,264.3,121.65800000000002,46.276828283710195,-0.05531201557117761,1.3739335173884464,-3.1187645101547243,1.3154936448691994
22,20210405-225734,166.17036283299967,12,50000,0.002,"(64, 64)",22.6,230.9,136.27,46.54065856861074,-0.05677228244382441,1.219290187052195,-3.1072953128814698,1.1594215419017944
23,20210405-225734,164.4342124750001,12,50000,0.002,"(128, 128)",30.9,233.1,141.172,47.804242656902325,-0.05525736269652021,1.1292745909075048,-3.0364836692810058,1.0709489759836346
24,20210405-225734,160.86469976199805,12,50000,0.003,"(32, 32)",23.0,223.4,123.618,44.0145189227373,-0.05716525102515109,1.2792056575108588,-3.083135461807251,1.218945985699154
25,20210405-225734,169.2124729870011,12,50000,0.003,"(64, 64)",29.1,293.4,151.37199999999999,60.918411141460346,-0.05159168484526149,1.0962080182852834,-3.029677639007568,1.041544624594471
26,20210405-225734,166.00431449700045,12,50000,0.003,"(128, 128)",28.1,316.9,141.04999999999998,59.29466164841486,-0.04918450130084602,1.0260570486660814,-2.9843463706970215,0.973852010248159
27,20210405-225734,309.45103032399857,12,100000,0.001,"(32, 32)",17.9,201.0,111.773,37.08942397773252,-0.06618557748638491,1.4682042155331851,-3.1471598505973817,1.3988795285965432
28,20210405-225734,326.5587803439994,12,100000,0.001,"(64, 64)",16.0,302.9,136.358,45.15003694350648,-0.05767223890930456,1.1467526544158202,-3.1252109098434446,1.085959206678241
29,20210405-225734,324.42294329300057,12,100000,0.001,"(128, 128)",21.8,257.2,142.047,47.147075105461205,-0.06050946716537409,1.1089488076713343,-3.095934200286865,1.0453471843408944
30,20210405-225734,316.92300730900024,12,100000,0.002,"(32, 32)",18.3,210.2,116.25599999999999,39.18021521125171,-0.0704832602387797,1.282535052050317,-3.0732166266441343,1.2089702855278097
31,20210405-225734,319.7901924079997,12,100000,0.002,"(64, 64)",25.4,278.8,138.866,40.58760456099867,-0.06535228649199797,1.0969560306257569,-3.0582927227020265,1.0285345857477748
32,20210405-225734,323.0562374000001,12,100000,0.002,"(128, 128)",29.7,349.5,141.94,53.722239342752644,-0.05723842888364286,0.9618428446806087,-3.041727774143219,0.901568016875477
33,20210405-225734,313.8340018259987,12,100000,0.003,"(32, 32)",25.2,227.2,120.774,42.86297381190437,-0.07089708640424637,1.211906139619468,-3.0654251980781555,1.1379480268577462
34,20210405-225734,325.2252113609975,12,100000,0.003,"(64, 64)",27.5,337.5,138.399,53.402862273477446,-0.06103096332654319,1.0158809326976785,-3.0313023018836973,0.9518210805944458
35,20210405-225734,325.4860979180012,12,100000,0.003,"(128, 128)",28.1,278.8,146.047,51.516151748747696,-0.050682072726267326,0.8643922295695942,-2.964168748855591,0.8107114847167628
36,20210405-225734,212.52028243099994,24,50000,0.001,"(32, 32)",18.2,216.6,120.598,51.806140524073015,0.004068284322569991,1.3671570294662845,-3.153905038833618,1.3680718582901872
37,20210405-225734,220.09070341799816,24,50000,0.001,"(64, 64)",17.5,274.0,152.62400000000002,58.67732291098496,-0.003994675546963549,1.083331480824249,-3.1234163999557496,1.0762070186273893
38,20210405-225734,221.72830103399974,24,50000,0.001,"(128, 128)",18.7,239.8,151.126,55.46377488054703,-0.010910021635748883,0.9874515411159024,-3.095780029296875,0.9734419247829356
39,20210405-225734,215.65490534399942,24,50000,0.002,"(32, 32)",19.4,279.8,139.036,54.46142032668631,-0.01314638237515901,1.0876326346052578,-3.091270842552185,1.0713853581718635
40,20210405-225734,222.7384635039998,24,50000,0.002,"(64, 64)",22.6,293.2,158.01999999999998,59.59958053543665,-0.014852432873168255,0.8688734670394566,-3.0569735956192017,0.8509488901956939
41,20210405-225734,233.4574359340004,24,50000,0.002,"(128, 128)",19.8,357.4,168.576,75.39605177991749,-0.013595097901926647,0.7983457105392358,-3.053404941558838,0.7816821121304296
42,20210405-225734,236.3925981149987,24,50000,0.003,"(32, 32)",17.6,312.2,151.50599999999997,68.23765356458266,-0.017544296602797476,0.9534518018178642,-3.096339454650879,0.9328090304535115
43,20210405-225734,224.71015333000105,24,50000,0.003,"(64, 64)",24.3,291.0,168.40999999999997,64.13069545857117,-0.01621620057101891,0.7677798227977124,-3.0664340448379517,0.7485069444312481
44,20210405-225734,225.0441232890007,24,50000,0.003,"(128, 128)",33.8,325.7,163.176,73.75059202474242,-0.015265820888045597,0.7480573319023243,-3.033696093559265,0.7297552881533047
45,20210405-225734,419.66871294500015,24,100000,0.001,"(32, 32)",14.2,256.2,144.394,53.60870791205475,-0.016561167633616106,1.0537362580399612,-3.1221661138534547,1.0340531308613718
46,20210405-225734,435.31209833400135,24,100000,0.001,"(64, 64)",21.0,348.7,163.91600000000003,58.63151834977498,-0.019831733314662644,0.870526791631378,-3.110451855659485,0.8475986599466647
47,20210405-225734,439.6004754249989,24,100000,0.001,"(128, 128)",20.2,319.1,172.08900000000003,56.36542716062746,-0.02132559899835428,0.776992910950305,-3.064115388393402,0.7525944243426901
48,20210405-225734,428.24750800699985,24,100000,0.002,"(32, 32)",22.0,316.3,153.38,50.43445647570716,-0.024368074521555923,0.8893090562020778,-3.08197838306427,0.8618567954984668
49,20210405-225734,439.6019782889998,24,100000,0.002,"(64, 64)",23.2,297.7,177.63299999999995,53.91152020672391,-0.022093390535094612,0.7059930791158812,-3.0445727634429933,0.6808421911094454
50,20210405-225734,433.8073847730011,24,100000,0.002,"(128, 128)",28.8,348.3,161.838,59.92418172991601,-0.02036950219982475,0.6571041721856687,-3.0250754308700563,0.6336991119137849
51,20210405-225734,426.5383323339993,24,100000,0.003,"(32, 32)",25.9,294.8,157.447,54.82906611460749,-0.023460992083929613,0.780474124630494,-3.018137731552124,0.7539737797585782
52,20210405-225734,426.30944525999803,24,100000,0.003,"(64, 64)",17.7,284.3,151.305,50.4029411344219,-0.01967803644358537,0.6399087414773065,-3.021798071861267,0.6172086629238678
53,20210405-225734,423.1929137779953,24,100000,0.003,"(128, 128)",37.9,307.1,140.426,51.64474923939509,-0.017766286041207013,0.6015054780226492,-2.9785734033584594,0.5807440774047049
